               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04259,            0.033699,          0.00026928,             0.33732,             0.33138,             0.33705,             0.18687,            0.046267,            0.025561,           0.0050043,           0.0033298,           0.0033298,            0.070032
                   1,             0.04114,            0.033719,           1.829e-05,             0.33691,             0.27969,             0.31665,             0.17837,            0.043612,            0.027427,           0.0047131,            0.006663,            0.006663,            0.040032
                   2,            0.042168,            0.034368,          2.0062e-05,              0.3211,             0.25013,             0.28899,             0.15268,             0.05047,            0.026425,           0.0047568,           0.0099955,           0.0099955,            0.010031
