               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064905,            0.012264,           0.0054227,             0.36953,              0.3036,             0.33389,             0.10006,            0.062151,            0.053934,            0.016397,             0.00146,             0.00146,             0.08686
                   1,             0.05637,           0.0094503,           0.0021445,              0.3885,             0.36384,             0.37201,             0.16066,            0.043059,            0.013445,            0.012291,           0.0029299,           0.0029299,             0.07363
                   2,            0.054122,           0.0090648,           0.0018801,             0.69621,             0.40953,             0.44337,             0.20044,            0.046815,            0.016752,            0.014444,           0.0043996,           0.0043996,              0.0604
                   3,            0.053385,           0.0091264,           0.0019774,             0.45438,              0.3803,              0.4385,             0.24453,            0.040421,            0.010303,           0.0035951,           0.0058687,           0.0058687,            0.047169
                   4,            0.052675,           0.0092255,           0.0018714,             0.43192,             0.40876,             0.40454,             0.20736,            0.041778,             0.01146,           0.0084826,           0.0073371,           0.0073371,            0.033937
                   5,            0.053303,           0.0089765,            0.001892,             0.37074,              0.7118,             0.46045,             0.26258,            0.041341,            0.011585,           0.0036843,           0.0088046,           0.0088046,            0.020705
                   6,            0.052757,           0.0090274,           0.0019339,             0.42669,             0.40769,             0.40344,              0.2011,            0.043789,            0.014983,            0.011769,           0.0099911,           0.0099911,           0.0099911
                   7,            0.052281,            0.009074,           0.0019106,             0.46542,             0.45775,             0.44955,             0.24184,            0.040225,            0.010053,            0.017524,           0.0099911,           0.0099911,           0.0099911
                   8,            0.052599,           0.0089947,           0.0020341,             0.44138,               0.522,             0.45026,             0.22718,            0.047374,           0.0096568,           0.0026036,           0.0099879,           0.0099879,           0.0099879
                   9,             0.05219,           0.0089402,           0.0018383,              0.4997,             0.37843,             0.39572,             0.22464,             0.04322,            0.011472,            0.011472,           0.0099842,           0.0099842,           0.0099842
                  10,            0.051284,           0.0089603,           0.0017025,             0.45231,             0.53814,              0.4534,              0.2415,            0.042585,            0.012942,           0.0060014,             0.00998,             0.00998,             0.00998
                  11,             0.05165,           0.0090266,           0.0017734,             0.43573,             0.36327,             0.41858,             0.20167,            0.049077,           0.0091615,           0.0029802,           0.0099753,           0.0099753,           0.0099753
                  12,            0.051325,           0.0090269,           0.0018592,             0.53521,             0.44948,             0.42888,             0.21932,            0.061106,           0.0078365,           0.0037829,           0.0099702,           0.0099702,           0.0099702
                  13,            0.051656,           0.0089947,           0.0017214,             0.43785,             0.41077,             0.40895,             0.24904,            0.037701,             0.01154,            0.019857,           0.0099645,           0.0099645,           0.0099645
                  14,             0.05086,            0.009059,           0.0017161,             0.43884,             0.47635,             0.43606,             0.25354,            0.041801,            0.011858,           0.0093691,           0.0099584,           0.0099584,           0.0099584
                  15,            0.050638,           0.0091115,           0.0016227,             0.48234,             0.62413,             0.48248,              0.2391,            0.040514,           0.0091976,           0.0043545,           0.0099517,           0.0099517,           0.0099517
                  16,            0.051127,           0.0087796,            0.001684,             0.44343,             0.47796,             0.44731,             0.28694,            0.036386,           0.0095596,           0.0096047,           0.0099446,           0.0099446,           0.0099446
                  17,            0.051291,           0.0088773,           0.0017612,             0.32686,             0.49746,             0.36106,             0.09896,            0.043787,           0.0091891,           0.0031213,            0.009937,            0.009937,            0.009937
                  18,            0.050976,           0.0089014,           0.0017785,             0.32332,             0.48193,             0.32461,             0.12525,             0.04337,           0.0084627,           0.0044803,           0.0099289,           0.0099289,           0.0099289
                  19,            0.050754,           0.0088485,           0.0015447,              0.5734,             0.47198,             0.48176,             0.26517,            0.036771,            0.012667,           0.0065175,           0.0099203,           0.0099203,           0.0099203
                  20,            0.050495,           0.0087103,           0.0018512,             0.52807,             0.40857,             0.41618,             0.25233,            0.059822,           0.0090671,            0.002654,           0.0099112,           0.0099112,           0.0099112
                  21,            0.050693,            0.008999,           0.0017991,             0.39537,              0.5031,             0.43857,             0.23648,            0.038378,           0.0088832,           0.0036678,           0.0099017,           0.0099017,           0.0099017
                  22,            0.051506,           0.0090782,            0.001792,             0.51379,             0.40852,             0.40881,             0.23483,             0.03683,            0.010427,           0.0034148,           0.0098916,           0.0098916,           0.0098916
                  23,            0.050886,           0.0090711,           0.0016396,             0.52768,             0.51696,             0.45725,             0.27115,            0.038487,           0.0087498,           0.0042673,           0.0098811,           0.0098811,           0.0098811
                  24,            0.050824,           0.0090823,           0.0015946,             0.46131,             0.52325,             0.42944,             0.23516,            0.037883,           0.0094578,            0.010692,           0.0098701,           0.0098701,           0.0098701
                  25,            0.049891,           0.0088597,           0.0015221,             0.43979,               0.502,             0.43349,             0.25486,            0.036714,             0.01127,           0.0055007,           0.0098586,           0.0098586,           0.0098586
                  26,            0.050351,           0.0089164,           0.0016958,             0.59098,             0.59565,             0.52105,             0.28847,            0.036847,            0.010789,           0.0074959,           0.0098467,           0.0098467,           0.0098467
                  27,            0.050702,           0.0089458,           0.0014246,             0.43729,             0.55852,             0.44065,             0.26455,            0.036309,           0.0086229,           0.0048304,           0.0098342,           0.0098342,           0.0098342
                  28,            0.050184,            0.008804,            0.001572,             0.60134,             0.46544,             0.45001,             0.28423,            0.035881,           0.0091144,           0.0042813,           0.0098213,           0.0098213,           0.0098213
                  29,            0.050122,            0.008905,           0.0015967,             0.52371,             0.59995,             0.49535,             0.30075,            0.032883,           0.0085952,           0.0024867,           0.0098079,           0.0098079,           0.0098079
                  30,            0.050001,           0.0089566,           0.0017169,             0.53086,             0.61544,             0.49436,             0.28937,            0.033052,           0.0090127,           0.0022548,           0.0097941,           0.0097941,           0.0097941
                  31,            0.050229,           0.0089832,           0.0016491,             0.73421,             0.51918,             0.57472,             0.30693,            0.036904,           0.0095297,           0.0020301,           0.0097798,           0.0097798,           0.0097798
                  32,            0.049976,           0.0090536,            0.001505,             0.54187,             0.41705,             0.44677,             0.30418,            0.034368,           0.0088181,           0.0088616,            0.009765,            0.009765,            0.009765
                  33,            0.050156,           0.0088713,           0.0018508,             0.51828,             0.49882,             0.49373,             0.29211,            0.033652,           0.0087057,           0.0026151,           0.0097497,           0.0097497,           0.0097497
                  34,            0.049631,           0.0089393,           0.0017575,             0.55792,             0.63498,             0.56076,             0.31313,            0.034436,           0.0080488,           0.0021195,            0.009734,            0.009734,            0.009734
                  35,            0.049815,           0.0089718,           0.0015805,             0.67841,             0.59077,               0.598,             0.34582,            0.033417,           0.0096416,           0.0081155,           0.0097178,           0.0097178,           0.0097178
                  36,            0.049758,            0.008981,           0.0017073,             0.56572,             0.52541,             0.48455,             0.29608,            0.033218,            0.010599,            0.012227,           0.0097011,           0.0097011,           0.0097011
                  37,            0.049031,           0.0088718,           0.0015142,             0.58294,              0.5816,             0.51728,             0.30694,             0.03282,           0.0081075,           0.0032397,            0.009684,            0.009684,            0.009684
                  38,            0.050164,            0.008811,           0.0016205,             0.53759,              0.6608,             0.53313,             0.31277,            0.032119,           0.0081659,           0.0048825,           0.0096664,           0.0096664,           0.0096664
                  39,            0.049561,           0.0086379,           0.0014688,              0.5164,             0.59571,              0.5269,             0.29473,            0.034763,           0.0095649,           0.0029569,           0.0096484,           0.0096484,           0.0096484
                  40,            0.049833,           0.0090559,           0.0017434,             0.61965,             0.64242,             0.60516,             0.34721,            0.039146,           0.0084496,            0.012591,           0.0096299,           0.0096299,           0.0096299
                  41,            0.049607,           0.0089056,           0.0013196,             0.53116,             0.54801,             0.48676,              0.2996,            0.041519,           0.0080503,           0.0060056,            0.009611,            0.009611,            0.009611
                  42,            0.048603,            0.008811,           0.0016646,             0.57581,             0.59406,             0.49586,             0.29363,            0.033106,           0.0086468,           0.0066343,           0.0095916,           0.0095916,           0.0095916
                  43,            0.049691,            0.008945,           0.0016503,             0.56657,             0.65013,             0.53778,             0.32286,            0.031013,           0.0080567,           0.0066266,           0.0095717,           0.0095717,           0.0095717
                  44,            0.048696,           0.0089576,           0.0016229,             0.60886,              0.6293,             0.54597,             0.32848,            0.030648,           0.0089325,            0.005257,           0.0095514,           0.0095514,           0.0095514
                  45,            0.049337,           0.0089394,           0.0016327,             0.56176,             0.63323,             0.53933,              0.3225,            0.030382,           0.0083474,           0.0020363,           0.0095307,           0.0095307,           0.0095307
                  46,            0.048763,           0.0088371,           0.0015175,             0.55966,             0.59582,             0.51255,             0.32923,            0.030598,           0.0081581,           0.0030053,           0.0095095,           0.0095095,           0.0095095
                  47,             0.04928,           0.0088809,           0.0015281,             0.63174,             0.65376,             0.57547,             0.33398,            0.030603,             0.00866,           0.0038591,           0.0094879,           0.0094879,           0.0094879
                  48,            0.048527,           0.0087122,           0.0016143,             0.57233,             0.68961,             0.57616,             0.33603,            0.030974,           0.0086859,           0.0030854,           0.0094659,           0.0094659,           0.0094659
                  49,            0.049456,            0.009019,           0.0016499,             0.56441,             0.65864,             0.58811,             0.35389,            0.028727,            0.008182,           0.0029878,           0.0094434,           0.0094434,           0.0094434
